30215	148	148	NULL	CancelByDate	NULL	NULL	17	1
30215	140	47	NULL	Composition	NULL	NULL	18	1
30215	149	56	NULL	Supplier	NULL	NULL	19	1
30215	150	103	NULL	Country Of Origin	NULL	NULL	20	1
30215	694	NULL	NULL	Created By	NULL	NULL	21	1
30215	695	NULL	NULL	Created Date	NULL	NULL	22	1
30215	877	NULL	NULL	ID	NULL	NULL	23	0
30215	892	NULL	NULL	ERPID	NULL	NULL	24	0
30215	1554	3707	NULL	Item Type	NULL	NULL	25	1
30215	1557	6887	NULL	Garment Factory	NULL	NULL	26	1
30216	4	6	NULL	Sketch	NULL	NULL	1	1
30216	57	22	NULL	Style #	NULL	NULL	2	1
30216	2	23	NULL	Description	NULL	NULL	3	1
30216	197	1	NULL	Product Class	NULL	NULL	4	1
30216	198	149	NULL	Type Group	NULL	NULL	5	1
30216	199	2	NULL	Product Type	NULL	NULL	6	1
30216	1542	141	NULL	Brand	NULL	NULL	7	1
30216	200	3	NULL	Season	NULL	NULL	8	1
30216	201	4	NULL	Collection	NULL	NULL	9	1
30216	202	5	NULL	Group	NULL	NULL	10	1
30216	141	10	NULL	Size Range	NULL	NULL	11	1
30216	142	11	NULL	Dimension	NULL	NULL	12	1
30216	143	3006	NULL	Sample Status	NULL	NULL	13	1
30216	144	3004	NULL	Style Status	NULL	NULL	14	1
30216	146	146	NULL	Ship Date 1	NULL	NULL	15	1
30216	147	147	NULL	Ship Date 2	NULL	NULL	16	1
30216	148	148	NULL	CancelByDate	NULL	NULL	17	1
30216	140	47	NULL	Composition	NULL	NULL	18	1
30216	149	56	NULL	Supplier	NULL	NULL	19	1
30216	150	103	NULL	Country Of Origin	NULL	NULL	20	1
30216	694	NULL	NULL	Created By	NULL	NULL	21	1
30216	695	NULL	NULL	Created Date	NULL	NULL	22	1
30216	877	NULL	NULL	ID	NULL	NULL	23	0
30216	892	NULL	NULL	ERPID	NULL	NULL	24	0
30216	1554	3707	NULL	Item Type	NULL	NULL	25	1
30216	1557	6887	NULL	Garment Factory	NULL	NULL	26	1
30217	4	6	NULL	Sketch	NULL	NULL	1	1
30217	57	22	NULL	Style #	NULL	NULL	2	1
30217	2	23	NULL	Description	NULL	NULL	3	1
30217	197	1	NULL	Product Class	NULL	NULL	4	1
30217	198	149	NULL	Type Group	NULL	NULL	5	1
30217	199	2	NULL	Product Type	NULL	NULL	6	1
30217	1542	141	NULL	Brand	NULL	NULL	7	1
30217	200	3	NULL	Season	NULL	NULL	8	1
30217	201	4	NULL	Collection	NULL	NULL	9	1
30217	202	5	NULL	Group	NULL	NULL	10	1
30217	141	10	NULL	Size Range	NULL	NULL	11	1
30217	142	11	NULL	Dimension	NULL	NULL	12	1
30217	143	3006	NULL	Sample Status	NULL	NULL	13	1
30217	144	3004	NULL	Style Status	NULL	NULL	14	1
30217	146	146	NULL	Ship Date 1	NULL	NULL	15	1
30217	147	147	NULL	Ship Date 2	NULL	NULL	16	1
30217	148	148	NULL	CancelByDate	NULL	NULL	17	1
30217	140	47	NULL	Composition	NULL	NULL	18	1
30217	149	56	NULL	Supplier	NULL	NULL	19	1
30217	150	103	NULL	Country Of Origin	NULL	NULL	20	1
30217	694	NULL	NULL	Created By	NULL	NULL	21	1
30217	695	NULL	NULL	Created Date	NULL	NULL	22	1
30217	877	NULL	NULL	ID	NULL	NULL	23	0
